NroReg,FECHA,CENTRO,Estrato,OFERTA_ID,FACTURA,GRUPO_CATEG,PLU_SAP,CANTIDAD,VENTA,DESCUENTO,GRUCOM,VENTA_NETA,OFERTA_ID_NUM,PROMO_FLAG,PRECIO_UNITARIO_NETO
2114,2026-01-01,1,4,0,193,1,194,1.943,12600,0.0,1,12600.0,0,0,6484.8172928461145
2115,2026-01-01,1,4,0,96,1,177,0.418,5890,0.0,1,5890.0,0,0,14090.909090909092
2143,2026-01-01,1,4,0,195,1,186,0.148,4300,0.0,1,4300.0,0,0,29054.054054054057
2183,2026-01-01,1,4,0,158,1,196,0.318,21990,0.0,1,21990.0,0,0,69150.94339622642
2230,2026-01-01,1,4,0,197,1,198,0.152,4450,0.0,1,4450.0,0,0,29276.315789473683
2240,2026-01-01,1,4,0,79,1,139,0.988,4900,0.0,1,4900.0,0,0,4959.514170040486
2255,2026-01-01,1,4,0,77,1,199,0.818,7300,0.0,1,7300.0,0,0,8924.205378973105
2271,2026-01-01,1,4,0,20,1,200,0.61,51240,0.0,1,51240.0,0,0,84000.0
2274,2026-01-01,1,4,0,193,1,201,2.256,8500,0.0,1,8500.0,0,0,3767.730496453901
2292,2026-01-01,1,4,0,105,1,139,0.988,4900,0.0,1,4900.0,0,0,4959.514170040486
2299,2026-01-01,1,4,0,61,1,202,0.507,10500,0.0,1,10500.0,0,0,20710.059171597633
2311,2026-01-01,1,4,0,203,1,90,0.468,10990,0.0,1,10990.0,0,0,23482.90598290598
2314,2026-01-01,1,4,0,204,1,205,0.298,8600,0.0,1,8600.0,0,0,28859.060402684565
2327,2026-01-01,1,4,0,206,1,139,0.988,4900,0.0,1,4900.0,0,0,4959.514170040486
2359,2026-01-01,1,4,0,96,1,207,0.154,21990,0.0,1,21990.0,0,0,142792.2077922078
2389,2026-01-01,1,4,259690,208,1,209,0.203,25160,6290.0,1,18870.0,259690,1,92955.66502463054
2429,2026-01-01,1,4,0,185,1,210,0.208,4150,0.0,1,4150.0,0,0,19951.923076923078
2440,2026-01-01,1,4,0,110,1,211,1.21,22000,0.0,1,22000.0,0,0,18181.818181818184
2467,2026-01-01,1,4,0,212,1,64,0.156,12890,0.0,1,12890.0,0,0,82628.20512820513
2471,2026-01-01,1,4,0,193,1,213,0.48,16700,0.0,1,16700.0,0,0,34791.66666666667
2487,2026-01-01,1,4,0,214,1,102,0.149,6200,0.0,1,6200.0,0,0,41610.73825503356
2494,2026-01-01,1,4,0,178,1,215,1.275,11750,0.0,1,11750.0,0,0,9215.686274509804
2526,2026-01-01,1,4,0,216,1,217,0.664,11990,0.0,1,11990.0,0,0,18057.22891566265
2537,2026-01-01,1,4,0,218,1,219,2.952,9570,0.0,1,9570.0,0,0,3241.869918699187
2548,2026-01-01,1,4,0,220,1,139,0.988,4900,0.0,1,4900.0,0,0,4959.514170040486
2565,2026-01-01,1,4,0,34,1,221,0.857,18360,0.0,1,18360.0,0,0,21423.570595099183
2578,2026-01-01,1,4,0,222,1,139,0.988,4900,0.0,1,4900.0,0,0,4959.514170040486
2615,2026-01-01,1,4,0,223,1,224,1.279,26250,0.0,1,26250.0,0,0,20523.846755277562
2653,2026-01-01,1,4,0,225,1,13,0.321,1200,0.0,1,1200.0,0,0,3738.3177570093458
2745,2026-01-01,1,4,0,226,1,227,0.218,9300,0.0,1,9300.0,0,0,42660.550458715596
2769,2026-01-01,1,4,0,228,1,90,0.468,10990,0.0,1,10990.0,0,0,23482.90598290598
2770,2026-01-01,1,4,0,144,1,139,0.988,4900,0.0,1,4900.0,0,0,4959.514170040486
2798,2026-01-01,1,4,0,67,1,51,1.677,29990,0.0,1,29990.0,0,0,17883.124627310674
2799,2026-01-01,1,4,0,65,1,229,0.426,11500,0.0,1,11500.0,0,0,26995.30516431925
2828,2026-01-01,1,4,0,77,1,230,0.266,13400,0.0,1,13400.0,0,0,50375.93984962406
2850,2026-01-01,1,4,0,61,1,231,0.195,10600,0.0,1,10600.0,0,0,54358.97435897436
2863,2026-01-01,1,4,0,96,1,232,0.902,24520,0.0,1,24520.0,0,0,27184.035476718404
2865,2026-01-01,1,4,0,233,1,148,0.129,2190,0.0,1,2190.0,0,0,16976.74418604651
2896,2026-01-01,1,4,0,96,1,234,0.271,46190,0.0,1,46190.0,0,0,170442.80442804427
2926,2026-01-01,1,4,0,24,1,49,0.54,9990,0.0,1,9990.0,0,0,18500.0
